original final
002762317c11a118a13027d1fb3cee2f352870e2 7adf32d93d0653bd4d831da9c40d0096d7d54b2d
006266e20de1019200a76b67be49194e7fceec91 d100ca867a2b1cd2e5853e9f6a3b6524e49ce9a8
007319e1bc97468cce207d6efa7a9edccdbf9e7c 68730a0431388f110b04b0cc2ab2b224678d5406
00fdc46dcdb6434c52b0863cbff38f3568d17357 a5435dd2b201e75a21c5a5c9d7e8fc6fb589cf10
010b37650577834db2eff838559245824bc2ca08 310947a0269ddb1bbb8410badcb9f775dd2fe04c
014cbde46ad40988b3401d8f8f1377d62162b7a2 1ca52f69f6235475da90cd7fb3578ed2e3b48ae1
01589249ea07b3136cc00556e63a110d6ef094e1 ab760a0d1d5eced5268a61fa1c1e9cd76de9c770
01fc790c600d4d6e84bde9529899df57aa2e2497 9975f7100c10f4259ee6b25753b9f48e53788806
025a875f19a0422b3178664b1863579034205bbe ffff680b34177b5006b3229eb5518e82534e1c4f
027b99cd8bf80548bdbfa0ba23496e33dd0277f5 7b6f74f7d905a753db982f87d0bea580dc1164ce
02c12c4eb5aacec0feb0a70d8910607cd6c1ea66 5d096f654f9775651a16cd8575857cec7f4be732
031fc0a9ddf01513d0fc7670a14bb14eda8d402d e4283885b19963876aece4b77d79bf2964b741c5
036063ad86d55a26fb8bec1c22772b1b21adab05 fb9c1a528e9565527fa98272a369337c9a30bde4
03a005a6d4023397df09b738d895fe80642c863b 7bcb84e059a909983c98c780e6317d1fdc194714
03acf543bc25da69fa63329f95d796d2b49efb60 69d5a4ad58d23eea79c6ba128fa21ae61bc94237
03fef1cfbf2ff816c40103d6c317c308719b70ac 091726d9d51ec0fa2a605f3e216817d0f93ec5cb
041c88ea20e92ec457e9224bb40c8f7dd8368dc0 18b4fcf71ab4e2c6dba7b014d88539a27ecc6be2
04257472d1fbcc3059fbb4d7926358767d04d804 7af38a75bfeb665c30751267c5e233d43a350010
04cbd119b5aa6a9cd058a85548fa06ddf0cf0a39 749b3fc29a3143c44ca69ae2199c4a17226de511
04e45afdeb4c79a5df90f4071135a6b9cbf8e409 d87f6382d3626609e9b671cdabe057d399434cda
051f26a104fe6076f4d8f1643338dba20a4aee2a 6ad7347aa71e5435e70779f9aee7ba5a5e995c5d
0540d06178275f70bcf7e85fbefb0d625034a090 8ef8be3d4f3cb42b2beb87d0c088e3f2f7a2675c
056e43b981e6877676e1476b2e2d679949a50714 d7826fd5580c13b796483d7c89e5b17a65c1c34a
057a26b90ab3e5e5b7139f503a4251b9989a3963 416b7c1ee08f2b15bf3dc38dd49e77a3223da31c
05847e05b7390a30ba76782a93c1a06b57cac0ad 39bce570bb4016adb5dafbf9c869cec77575c6cb
058b2bfd385405197d0885bc6d3654e00e6690dc b81fd512c80f81e523538e5e624a3e6477d0c6d0
059430ac133d0bde88bb333289c198df6c94146a 26b3940dd1adc326e4eb6fd01de27ceeb589b2c6
059af154ce6d50457f70993f363c41066c65ce3e 52a3fd5b51598134f12658560117d9aaf3cba280
05afb82dd0bf645ec0529f92183d196c512c3a86 c59db97014161806811ac735ca8a17702cf8e545
05dad48197bbd38015c0e994833ba64c2f81d812 a827e1591cd8e7756257ec4e109e3526e8fb73fe
063c5de50ce6de9a4bc282d53c90cc0c13142d4a 063c5de50ce6de9a4bc282d53c90cc0c13142d4a
0684c4d1ee796f2f1ce2bc1f360349d45324427d 1d2a2a08caa15711265190e1504a9b721d4a42be
