tag	old_commit	path_pass_commit	complete_commit	release	referenced_by
jam-actions-v0-0.5.0-cut-2026-07-11	08bdb8acc93c104aad8794cdcbf61e53062f72b2	b107ff4c9252f2aa7db9b0897ad6879f3451103d	2f1ef8419b64e550268cdfb12c7e9a95efe45f2d		Zenodo 10.5281/zenodo.21313954 (isDerivedFrom)
jam-actions-v0-0.6.0	e280a37db518234d241d53ee00625eafff56d070	55ee86411de9f90fe2b540ccd3a8934a192feee1	95e55b6767ddae371a31fca25bd81a29b0ab5a58		publication-receipt.json (v0 0.6.0)
jam-actions-v0-aloneness-audit-gaps-2026-05-19	67243d646251f8d9abbd9dadedb6349e3b226556	ae71c21a69deae487cc193703b9a26ccefb3e5f5	afe0f569f9b8f054023f056fd0e017b9d41d5294		
jam-actions-v0-corpus-spine-2026-05-17	4bba91515cac801c4dc73f68cca6110d9d848ad5	3ad6f784e4bc8f8963d4b19da91c013065b0f2f8	ce7f2c51e18ba8249ceeed4aff6ec212218bf643		
jam-actions-v0-dataset-card-polished-2026-05-19	ac514e0b43e585f5265c1a594e16dbe5f927340e	ae2514251d55d5705b77093c8e7df18b8a1c9807	d433a5be9bb2bfb9a1a8ae9716c64733aabfaae0		
jam-actions-v0-enriched-2026-05-17	1119cb70f21c53680312a0e205c96a53dc42626c	774bf10fa1ddad1ef8594a174e9cba1c66acca52	cded57a6336e465017f503f5cdf0144c204b59bd		
jam-actions-v0-enrichment-rubric-2026-05-18	9c7cb6f40f2028cb86171b6cd7285358dcd3c91e	7c4465c741dea720ee01d7ce1fd6aa67535304e3	4d4537fba5d394d999f8300e48eea333d1b3d157		
jam-actions-v0-eval-fair-2026-05-18	dcbbd232bfeeb6f4723413721c0f98b1fa19bc83	234e465a822fcf87fd8d80999a6c1866254b0eb3	977cd156af50e2ca6a5f1fcd16b542e9c5e80687		
jam-actions-v0-eval-rerun-2026-05-18	6ee106be3548807e23e8253e644a10e41d10e485	1d43c0aa57e21de042c147377169836eeca4ecff	02341dd42899d77b6814c240633379c355fb6345		
jam-actions-v0-eval-stable-2026-05-18	a0788c5cbab4c3a569434cf2f83a18baf8e759f7	89f4188b80748b8c94797180a7602744e2fe46a9	5d4554a983a809ef842df6c9362597da640d3478		
jam-actions-v0-fair-baseline-mixed-2026-05-18	a3d458b7d6f3a64adc99e7c5046d6c3870cd384e	997c671bcb2df1ae38c500c52aae88e5ba1f6776	013cc0d9f92d09c0d12367f0ff1e57c41e616d59		
jam-actions-v0-feature-marketed-2026-05-19	89c511a61afe72434cf6cc44c49c6cb685844c24	80cf1f88a0ec529530e8417e96d3353a1bd9e7eb	75e1c1d36cdac7b33ca6de06d9520762dcf288f9		publish-jam-actions-v0.yml SEALED_REF
jam-actions-v0-hardened-2026-05-17	23359808d5e0af4d05cd3ad5b690a1d9554aba5a	8a7e4fc5d93c9255b8a83d490bff921264d5e717	dc09ffd135b187c9cd42d6aad65a9c36da233ae2		
jam-actions-v0-package-2026-05-17	c7d80e7b2effd2785cfb0fac3fb5625ad9af59df	a4345f00364ca683c8d13736e1ee15c1f3026c61	f4cd775be1eaa93e90af865bb72d32573c308d25		
jam-actions-v0-packager-durable-2026-05-17	cbd6154e95c92a8e08f9772167c76ce497917bf5	dfebd1823d0e7ad978e9cbcb13a9d8f2f0c0932e	ad2a334b882dbbfe499769ceca1c7c3acf1d8b7a		
jam-actions-v0-prompt-isolated-2026-05-18	91ae79d6887d59a900e3221a42a4bc99d15e4040	fe0723efe8544a7fc8b26397b7da148fe606af97	8215f64c426010850f3a6a296153baeb5658688b		
jam-actions-v0-public-2026-05-17	d6970e1dbfac3d4fbbcc0de7eb176b002cb13406	86b46747f2cf65af316b091ec4d9898fbe317888	7414866a2f1939b60278a809f5875a3ac70d0fc8		
jam-actions-v0-publication-dry-run-2026-05-19	bd002994a8ad357a0bb4e68c0651b566cb22e0c9	9a366f3c0868bac96c5ad42dc014cef55ba6dd75	cec2091ec63f8eb9e6dbcf771e8d22ab1daa3158		
jam-actions-v0-rc-gate-defined-2026-05-18	e835f8ccab8720be5d2c41bc1e80021650b3cb3d	d478fcb044a9752daf2a04df9518dfb959e4acec	eeb28b9bf2b926c6d07cec18205facd1c72f68c4		
jam-actions-v0-rc-gate-revised-2026-05-19	0fec18355fa9cd3bf1f699250df79b52e09e1c01	b7dcc39579a6d86a58fcc5cb7d4f964d284b0230	3bf43e7bc5c27f41313cec3142a90dffb8b25a13		
jam-actions-v0-reproducibility-cleared-2026-05-19	2b4f48e5dc9a156119a8fafc429dd0f66fbf50d5	36e3823a2bc4bdfcbce4903e40ca920427fa5eed	6f302ef5fdb50b8947508a6d89acd8794a624589		Zenodo 10.5281/zenodo.20279919 (isDerivedFrom)
